Gene,d0→d2,d2→d5,Total
CD81,0.948514216837061,0.221823205659183,1.1703374224962442
GHR,0.94840723290241,0.563770675340844,1.512177908243254
PCDH7,0.94801348163678,0.3472891234014,1.29530260503818
QPRT,0.944589945225053,0.278878652716915,1.223468597941968
SHISA4,0.940760789310441,0.402858290844112,1.3436190801545531
DES,0.93594021257874,0.21706780397994,1.15300801655868
CALY,0.926676023785646,0.421413515625457,1.348089539411103
VKORC1,0.923322983673794,0.318304937865235,1.241627921539029
RSU1,0.922583360392606,0.304240538470061,1.226823898862667
DOP1B,0.916665450512436,0.634763183206234,1.55142863371867
FLNB,0.905812909290033,0.349058289085725,1.2548711983757581
EIF1B,0.898699617509735,0.22784569152261,1.126545309032345
CUX1,0.893310245770772,0.278571342511422,1.171881588282194
STEAP1,0.893092553250573,0.399773751403303,1.292866304653876
LPP,0.8839861147101,0.494653126894256,1.378639241604356
PLOD2,0.882556893434586,0.423107083433446,1.305663976868032
TPM1,0.880346519613834,0.867600420581539,1.747946940195373
IFI27L2,0.876573881380568,0.188197983667898,1.064771865048466
ITGA6,0.870484322416563,0.825305529019007,1.69578985143557
CST6,0.857587068155359,0.423777617592843,1.281364685748202
MAP1A,0.857230384294285,0.233144256065847,1.090374640360132
PYGL,0.849033007959165,0.820983917681223,1.670016925640388
SEPTIN9,0.840830027456984,0.36275134957336,1.203581377030344
RAPSN,0.8270151571063,0.176610947814005,1.003626104920305
MAP4,0.816474519237811,0.239881722856284,1.056356242094095
AMOTL2,0.811252038056366,0.454261329127059,1.265513367183425
MAGED2,0.781467230925557,0.346319758542486,1.127786989468043
PLPP2,0.77794407820001,0.539164666213694,1.317108744413704
DSEL,0.777524416311699,0.492165196889154,1.269689613200853
ARMH4,0.776996667871364,0.872564588107152,1.649561255978516
UTRN,0.763693588928688,0.459515033049214,1.223208621977902
NXN,0.761484279798121,0.245578843274579,1.0070631230727
FARP1,0.757778913976636,0.591095680367411,1.348874594344047
WWC2,0.755584628911199,0.422023679732221,1.17760830864342
ARPC3,0.755565798678202,0.140350381650273,0.895916180328475
SELENOM,0.755184096621399,0.408351698967954,1.163535795589353
CDV3,0.751991599871131,0.420542064479148,1.1725336643502788
CCNG1,0.749523003777738,0.120365232774531,0.869888236552269
KANK2,0.749389085140412,0.222779867147078,0.97216895228749
MXRA8,0.746345926520576,1.18145950232813,1.927805428848706
IDH3A,0.741857054749964,0.424426513231571,1.166283567981535
MORN2,0.74066994568586,0.248117931249236,0.988787876935096
CTSD,0.737433664949244,0.881742063957789,1.619175728907033
PIK3R2,0.734707884527798,0.306393184273783,1.041101068801581
NUCB1,0.731279153110655,0.42304647889969,1.154325632010345
OSTF1,0.721174011227796,0.190127513077845,0.911301524305641
DCAF6,0.70540765569576,0.44632326370855,1.1517309194043102
TTYH3,0.703026543029273,0.487856856693888,1.1908833997231612
ZYX,0.695118752473286,0.319551841783293,1.014670594256579
CXXC5,0.692835359234751,0.217393463531363,0.910228822766114
HACE1,0.69188613544106,0.775942901589011,1.467829037030071
ANKIB1,0.688924165588493,0.49566383984069,1.184588005429183
ARF2,0.68668304368076,0.298449943456471,0.9851329871372311
