"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARHGAP29",2.28826243980971e-20,0.33662157321265,0.924,0.895,5.00671821830365e-16
"ENSBTAG00000051299",2.68156349382055e-20,-1.44797740574483,0.065,0.164,5.86726092447936e-16
"LSM7",2.78068315202083e-20,-0.387042387792853,0.794,0.848,6.08413473662158e-16
"CENPU",2.8257474765323e-20,-1.27784967980449,0.088,0.198,6.18273547865268e-16
"SNRPA1",3.29860989300494e-20,-0.428231130568623,0.731,0.806,7.21735844589482e-16
"CCT7",3.46915858973474e-20,-0.329814454193142,0.868,0.903,7.59051899433961e-16
"DNAJC9",3.62319839345295e-20,-1.40815246403091,0.062,0.161,7.92755808487506e-16
"KNL1",3.64399317212007e-20,-1.88016680336297,0.042,0.13,7.97305706059871e-16
"CANX",4.41798453211109e-20,-0.331599962543263,0.873,0.916,9.66655015625906e-16
"SLC43A1",4.66289373152617e-20,0.579827802741738,0.637,0.526,1.02024114845793e-15
"STIP1",5.0477853959925e-20,-0.45494228952274,0.632,0.745,1.10445544464316e-15
"CHI3L1",5.20775911744509e-20,-1.69984114225495,0.113,0.226,1.13945769489699e-15
"TPI1",5.5775534637893e-20,-0.284886461469739,0.96,0.971,1.2203686978771e-15
"NDUFS2",5.61855974495783e-20,-0.228644205263762,0.954,0.965,1.22934087219677e-15
"POLR2E",5.95345156070007e-20,-0.391284061309609,0.731,0.816,1.30261520148117e-15
"ARMH4",5.96593118693462e-20,0.872564588107152,0.4,0.271,1.3053457437013e-15
"ACSL3",5.99160008869665e-20,-0.321540408222573,0.944,0.949,1.31096209940683e-15
"PCDH17",6.0650974840049e-20,1.55495427303132,0.181,0.079,1.32704332950027e-15
"SUMO2",6.16564629196567e-20,-0.173086334086601,0.989,0.992,1.34904340868209e-15
"CAST",6.35824794192325e-20,0.210359963878718,0.997,0.998,1.39118464969281e-15
"TALDO1",6.46014217172675e-20,-0.238056976001918,0.964,0.982,1.41347910717381e-15
"CA5B",6.5283545648707e-20,0.765479315056966,0.547,0.433,1.42840397879371e-15
"KIF1C",7.54900103798461e-20,0.421600717397717,0.81,0.778,1.65172142711103e-15
"TRIM47",8.27397303262336e-20,-1.45324857389851,0.055,0.148,1.81034529953799e-15
